秒播央视,#genre#
湛江新闻综合,http://yanshifen.top:8889/rtp/239.77.0.120:5146
湛江新闻综合高清,http://yanshifen.top:8889/rtp/239.77.0.141:5146
湛江公共,http://yanshifen.top:8889/rtp/239.77.0.121:5146
湛江公共高清,http://yanshifen.top:8889/rtp/239.77.0.140:5146
揭阳综合,http://yanshifen.top:8889/rtp/239.77.0.157:5146
揭阳综合高清,http://yanshifen.top:8889/rtp/239.77.0.229:5146
揭阳生活,http://yanshifen.top:8889/rtp/239.77.0.158:5146
揭阳生活高清,http://yanshifen.top:8889/rtp/239.77.0.251:5146
汕尾新闻综合,http://yanshifen.top:8889/rtp/239.77.1.189:5146
汕尾新闻综合高清,http://yanshifen.top:8889/rtp/239.77.0.25:5146
汕尾文化生活,http://yanshifen.top:8889/rtp/239.77.1.190:5146
汕尾文化生活高清,http://yanshifen.top:8889/rtp/239.77.0.187:5146
江门综合,http://yanshifen.top:8889/rtp/239.77.0.195:5146
江门综合高清,http://yanshifen.top:8889/rtp/239.77.0.201:5146
江门侨乡生活,http://yanshifen.top:8889/rtp/239.77.0.196:5146
江门侨乡生活高清,http://yanshifen.top:8889/rtp/239.77.0.202:5146
江门教育,http://yanshifen.top:8889/rtp/239.77.0.197:5146
江门教育高清,http://yanshifen.top:8889/rtp/239.77.0.203:5146
HZTV-1,http://yanshifen.top:8889/rtp/239.77.0.247:5146
HZTV-1,http://yanshifen.top:8889/rtp/239.77.1.154:5146
HZTV-1高清,http://yanshifen.top:8889/rtp/239.77.1.232:5146
HZTV-2,http://yanshifen.top:8889/rtp/239.77.0.248:5146
HZTV-2,http://yanshifen.top:8889/rtp/239.77.1.173:5146
HZTV-2高清,http://yanshifen.top:8889/rtp/239.77.1.233:5146
珠海-1,http://yanshifen.top:8889/rtp/239.77.1.230:5146
珠海-1高清,http://yanshifen.top:8889/rtp/239.77.0.155:5146
珠海-2,http://yanshifen.top:8889/rtp/239.77.1.231:5146
珠海-2高清,http://yanshifen.top:8889/rtp/239.77.0.154:5146
肇庆综合,http://yanshifen.top:8889/rtp/239.253.43.3:5146
肇庆综合高清,http://yanshifen.top:8889/rtp/239.253.43.1:5146
肇庆生活服务,http://yanshifen.top:8889/rtp/239.253.43.4:5146
肇庆生活服务高清,http://yanshifen.top:8889/rtp/239.253.43.2:5146
河源综合,http://yanshifen.top:8889/rtp/239.253.43.215:5146
河源综合高清,http://yanshifen.top:8889/rtp/239.253.43.213:5146
河源公共,http://yanshifen.top:8889/rtp/239.253.43.216:5146
河源公共高清,http://yanshifen.top:8889/rtp/239.253.43.214:5146
清远新闻综合,http://yanshifen.top:8889/rtp/239.253.43.31:5146
清远新闻综合高清,http://yanshifen.top:8889/rtp/239.253.43.33:5146
清远文旅生活,http://yanshifen.top:8889/rtp/239.253.43.32:5146
清远文旅生活,http://yanshifen.top:8889/rtp/239.77.0.241:5146
清远文旅生活高清,http://yanshifen.top:8889/rtp/239.253.43.34:5146
云浮综合,http://yanshifen.top:8889/rtp/239.253.43.195:5146
云浮综合高清,http://yanshifen.top:8889/rtp/239.77.0.253:5146
云浮文旅,http://yanshifen.top:8889/rtp/239.253.43.194:5146
云浮文旅高清,http://yanshifen.top:8889/rtp/239.77.0.254:5146
茂名综合,http://yanshifen.top:8889/rtp/239.77.0.204:5146
茂名综合高清,http://yanshifen.top:8889/rtp/239.77.0.206:5146
茂名公共,http://yanshifen.top:8889/rtp/239.77.0.205:5146
茂名公共高清,http://yanshifen.top:8889/rtp/239.77.0.207:5146
汕头综合,http://yanshifen.top:8889/rtp/239.253.43.30:5146
汕头综合高清,http://yanshifen.top:8889/rtp/239.77.1.130:5146
汕头综合高清,http://yanshifen.top:8889/rtp/239.253.43.45:5146
汕头经济生活,http://yanshifen.top:8889/rtp/239.253.43.43:5146
汕头经济生活高清,http://yanshifen.top:8889/rtp/239.77.1.131:5146
汕头经济生活高清,http://yanshifen.top:8889/rtp/239.253.43.46:5146
汕头文旅体育,http://yanshifen.top:8889/rtp/239.253.43.44:5146
汕头文旅体育高清,http://yanshifen.top:8889/rtp/239.77.1.132:5146
汕头文旅体育高清,http://yanshifen.top:8889/rtp/239.253.43.47:5146
潮州综合高清,http://yanshifen.top:8889/rtp/239.253.43.70:5146
潮州民生高清,http://yanshifen.top:8889/rtp/239.253.43.75:5146
佛山公共,http://yanshifen.top:8889/rtp/239.253.43.48:5146
佛山公共高清,http://yanshifen.top:8889/rtp/239.253.43.53:5146
佛山南海,http://yanshifen.top:8889/rtp/239.253.43.49:5146
佛山南海,http://yanshifen.top:8889/rtp/239.77.0.236:5146
佛山南海高清,http://yanshifen.top:8889/rtp/239.253.43.54:5146
佛山顺德,http://yanshifen.top:8889/rtp/239.253.43.50:5146
佛山顺德高清,http://yanshifen.top:8889/rtp/239.253.43.55:5146
佛山影视,http://yanshifen.top:8889/rtp/239.253.43.51:5146
佛山影视高清,http://yanshifen.top:8889/rtp/239.253.43.56:5146
佛山综合,http://yanshifen.top:8889/rtp/239.253.43.52:5146
佛山综合高清,http://yanshifen.top:8889/rtp/239.253.43.57:5146
东莞新闻综合,http://yanshifen.top:8889/rtp/239.253.43.102:5146
东莞新闻综合高清,http://yanshifen.top:8889/rtp/239.253.43.104:5146
东莞生活资讯,http://yanshifen.top:8889/rtp/239.253.43.103:5146
东莞生活资讯高清,http://yanshifen.top:8889/rtp/239.253.43.105:5146
中山综合,http://yanshifen.top:8889/rtp/239.253.43.59:5146
中山综合高清,http://yanshifen.top:8889/rtp/239.253.43.62:5146
香山文化,http://yanshifen.top:8889/rtp/239.253.43.60:5146
香山文化高清,http://yanshifen.top:8889/rtp/239.253.43.63:5146
中山教育,http://yanshifen.top:8889/rtp/239.253.43.61:5146
中山教育高清,http://yanshifen.top:8889/rtp/239.253.43.64:5146
徐闻综合高清,http://yanshifen.top:8889/rtp/239.253.43.112:5146
央视电信,#genre#
CCTV-1综合,http://www.kem.ink:8188/rtp/239.77.0.30:5146
CCTV-1,http://www.kem.ink:8188/rtp/239.77.1.20:5146
CCTV-1高清,http://www.kem.ink:8188/rtp/239.77.1.17:5146
CCTV-1高清,http://www.kem.ink:8188/rtp/239.77.1.144:5146
CCTV-1高清(CCTV -1综合高清),http://www.kem.ink:8188/rtp/239.77.0.86:5146
CCTV-1超清,http://www.kem.ink:8188/rtp/239.77.0.129:5146
CCTV-2财经,http://www.kem.ink:8188/rtp/239.77.0.31:5146
CCTV-2,http://www.kem.ink:8188/rtp/239.77.1.28:5146
CCTV-2高清,http://www.kem.ink:8188/rtp/239.77.1.158:5146
CCTV-2高清 (CAVS),http://www.kem.ink:8188/rtp/239.253.43.17:5146
CCTV-2高清测试(CCTV -2财经高清),http://www.kem.ink:8188/rtp/239.77.0.137:5146
CCTV-3综艺,http://www.kem.ink:8188/rtp/239.77.0.32:5146
CCTV-3高清,http://www.kem.ink:8188/rtp/239.77.0.169:5146
CCTV-3超清 (CAVS),http://www.kem.ink:8188/rtp/239.77.0.175:5146
CCTV-4中文国际,http://www.kem.ink:8188/rtp/239.77.0.33:5146
CCTV-4,http://www.kem.ink:8188/rtp/239.77.1.41:5146
CCTV-4高清,http://www.kem.ink:8188/rtp/239.77.1.163:5146
CCTV-4高清,http://www.kem.ink:8188/rtp/239.77.1.166:5146
CCTV-4高清,http://www.kem.ink:8188/rtp/239.77.0.78:5146
CCTV-5体育,http://www.kem.ink:8188/rtp/239.77.0.34:5146
CCTV-5高清,http://www.kem.ink:8188/rtp/239.77.0.170:5146
CCTV-5超清 (CAVS),http://www.kem.ink:8188/rtp/239.77.0.177:5146
CCTV-5+,http://www.kem.ink:8188/rtp/239.77.1.146:5146
CCTV-5+高清,http://www.kem.ink:8188/rtp/239.77.0.87:5146
CCTV-5+高清,http://www.kem.ink:8188/rtp/239.77.1.31:5146
CCTV-5+高清,http://www.kem.ink:8188/rtp/239.77.1.147:5146
CCTV-6电影,http://www.kem.ink:8188/rtp/239.77.0.35:5146
CCTV-6高清,http://www.kem.ink:8188/rtp/239.77.0.171:5146
CCTV-6超清 (CAVS),http://www.kem.ink:8188/rtp/239.77.0.178:5146
CCTV-7国防军事,http://www.kem.ink:8188/rtp/239.77.0.36:5146
CCTV-7,http://www.kem.ink:8188/rtp/239.77.1.24:5146
CCTV-7高清,http://www.kem.ink:8188/rtp/239.77.1.159:5146
CCTV-7高清 (CAVS),http://www.kem.ink:8188/rtp/239.77.1.167:5146
CCTV-7高清测试(CCTV -7军事农业高清),http://www.kem.ink:8188/rtp/239.77.0.138:5146
CCTV-8电视剧,http://www.kem.ink:8188/rtp/239.77.0.37:5146
CCTV-8高清,http://www.kem.ink:8188/rtp/239.77.0.172:5146
CCTV-8超清 (CAVS),http://www.kem.ink:8188/rtp/239.77.0.181:5146
CCTV-9纪录,http://www.kem.ink:8188/rtp/239.77.0.38:5146
CCTV-9,http://www.kem.ink:8188/rtp/239.77.1.65:5146
CCTV-9高清,http://www.kem.ink:8188/rtp/239.77.1.160:5146
CCTV-9高清 (CAVS),http://www.kem.ink:8188/rtp/239.77.1.168:5146
CCTV-9高清测试,http://www.kem.ink:8188/rtp/239.77.0.135:5146
CCTV-10科教,http://www.kem.ink:8188/rtp/239.77.0.39:5146
CCTV-10,http://www.kem.ink:8188/rtp/239.77.1.25:5146
CCTV-10高清,http://www.kem.ink:8188/rtp/239.77.1.113:5146
CCTV-10高清 (CAVS),http://www.kem.ink:8188/rtp/239.77.1.169:5146
CCTV-10高清测试(CCTV-10科教高清),http://www.kem.ink:8188/rtp/239.77.0.134:5146
CCTV-11戏曲,http://www.kem.ink:8188/rtp/239.77.0.40:5146
CCTV-11,http://www.kem.ink:8188/rtp/239.77.1.42:5146
CCTV-11高清,http://www.kem.ink:8188/rtp/239.77.1.238:5146
CCTV-12社会与法,http://www.kem.ink:8188/rtp/239.77.0.41:5146
CCTV-12,http://www.kem.ink:8188/rtp/239.77.1.10:5146
CCTV-12高清,http://www.kem.ink:8188/rtp/239.77.1.109:5146
CCTV-12高清 (CAVS),http://www.kem.ink:8188/rtp/239.77.1.170:5146
CCTV-12高清测试,http://www.kem.ink:8188/rtp/239.77.0.136:5146
CCTV-13新闻,http://www.kem.ink:8188/rtp/239.77.0.42:5146
CCTV-13,http://www.kem.ink:8188/rtp/239.77.1.26:5146
CCTV-13高清,http://www.kem.ink:8188/rtp/239.77.0.188:5146
CCTV-13高清,http://www.kem.ink:8188/rtp/239.253.43.196:5146
CCTV-14少儿,http://www.kem.ink:8188/rtp/239.77.0.43:5146
CCTV-14,http://www.kem.ink:8188/rtp/239.77.1.43:5146
CCTV-14高清,http://www.kem.ink:8188/rtp/239.77.1.161:5146
CCTV-14高清 (CAVS),http://www.kem.ink:8188/rtp/239.77.1.171:5146
CCTV-14高清测试,http://www.kem.ink:8188/rtp/239.77.0.133:5146
CCTV-15音乐,http://www.kem.ink:8188/rtp/239.77.0.44:5146
CCTV-15,http://www.kem.ink:8188/rtp/239.77.1.11:5146
CCTV-15高清,http://www.kem.ink:8188/rtp/239.77.1.239:5146
CCTV-16高清,http://www.kem.ink:8188/rtp/239.77.0.165:5146
CCTV-16高清,http://www.kem.ink:8188/rtp/239.77.1.76:5146
CCTV-16 4K,http://www.kem.ink:8188/rtp/239.77.1.98:5146
CCTV-17农业,http://www.kem.ink:8188/rtp/239.77.0.115:5146
CCTV-17,http://www.kem.ink:8188/rtp/239.77.1.123:5146
CCTV-17高清,http://www.kem.ink:8188/rtp/239.77.1.121:5146
CCTV-17农业高清,http://www.kem.ink:8188/rtp/239.77.0.198:5146
CCTV-4K 4K,http://www.kem.ink:8188/rtp/239.77.0.194:5146
CCTV-4K 4K50p,http://www.kem.ink:8188/rtp/239.77.0.174:5146
CGTN,http://www.kem.ink:8188/rtp/239.77.0.45:5146
CGTN,http://www.kem.ink:8188/rtp/239.77.1.27:5146
CGTN英语高清,http://www.kem.ink:8188/rtp/239.77.0.199:5146
CGTN西班牙语高清,http://www.kem.ink:8188/rtp/239.77.0.221:5146
CGTN法语高清,http://www.kem.ink:8188/rtp/239.77.0.228:5146
CGTN阿拉伯语高清,http://www.kem.ink:8188/rtp/239.253.43.200:5146
CGTN俄语高清,http://www.kem.ink:8188/rtp/239.253.43.201:5146
CCTV-1综合,http://yanshifen.top:8889/rtp/239.77.0.30:5146
CCTV-1,http://yanshifen.top:8889/rtp/239.77.1.20:5146
CCTV-1高清,http://yanshifen.top:8889/rtp/239.77.1.17:5146
CCTV-1高清,http://yanshifen.top:8889/rtp/239.77.1.144:5146
CCTV-1高清(CCTV -1综合高清),http://yanshifen.top:8889/rtp/239.77.0.86:5146
CCTV-1超清,http://yanshifen.top:8889/rtp/239.77.0.129:5146
CCTV-2财经,http://yanshifen.top:8889/rtp/239.77.0.31:5146
CCTV-2,http://yanshifen.top:8889/rtp/239.77.1.28:5146
CCTV-2高清,http://yanshifen.top:8889/rtp/239.77.1.158:5146
CCTV-2高清 (CAVS),http://yanshifen.top:8889/rtp/239.253.43.17:5146
CCTV-2高清测试(CCTV -2财经高清),http://yanshifen.top:8889/rtp/239.77.0.137:5146
CCTV-3综艺,http://yanshifen.top:8889/rtp/239.77.0.32:5146
CCTV-3高清,http://yanshifen.top:8889/rtp/239.77.0.169:5146
CCTV-3超清 (CAVS),http://yanshifen.top:8889/rtp/239.77.0.175:5146
CCTV-4中文国际,http://yanshifen.top:8889/rtp/239.77.0.33:5146
CCTV-4,http://yanshifen.top:8889/rtp/239.77.1.41:5146
CCTV-4高清,http://yanshifen.top:8889/rtp/239.77.1.163:5146
CCTV-4高清,http://yanshifen.top:8889/rtp/239.77.1.166:5146
CCTV-4高清,http://yanshifen.top:8889/rtp/239.77.0.78:5146
CCTV-5体育,http://yanshifen.top:8889/rtp/239.77.0.34:5146
CCTV-5高清,http://yanshifen.top:8889/rtp/239.77.0.170:5146
CCTV-5超清 (CAVS),http://yanshifen.top:8889/rtp/239.77.0.177:5146
CCTV-5+,http://yanshifen.top:8889/rtp/239.77.1.146:5146
CCTV-5+高清,http://yanshifen.top:8889/rtp/239.77.0.87:5146
CCTV-5+高清,http://yanshifen.top:8889/rtp/239.77.1.31:5146
CCTV-5+高清,http://yanshifen.top:8889/rtp/239.77.1.147:5146
CCTV-6电影,http://yanshifen.top:8889/rtp/239.77.0.35:5146
CCTV-6高清,http://yanshifen.top:8889/rtp/239.77.0.171:5146
CCTV-6超清 (CAVS),http://yanshifen.top:8889/rtp/239.77.0.178:5146
CCTV-7国防军事,http://yanshifen.top:8889/rtp/239.77.0.36:5146
CCTV-7,http://yanshifen.top:8889/rtp/239.77.1.24:5146
CCTV-7高清,http://yanshifen.top:8889/rtp/239.77.1.159:5146
CCTV-7高清 (CAVS),http://yanshifen.top:8889/rtp/239.77.1.167:5146
CCTV-7高清测试(CCTV -7军事农业高清),http://yanshifen.top:8889/rtp/239.77.0.138:5146
CCTV-8电视剧,http://yanshifen.top:8889/rtp/239.77.0.37:5146
CCTV-8高清,http://yanshifen.top:8889/rtp/239.77.0.172:5146
CCTV-8超清 (CAVS),http://yanshifen.top:8889/rtp/239.77.0.181:5146
CCTV-9纪录,http://yanshifen.top:8889/rtp/239.77.0.38:5146
CCTV-9,http://yanshifen.top:8889/rtp/239.77.1.65:5146
CCTV-9高清,http://yanshifen.top:8889/rtp/239.77.1.160:5146
CCTV-9高清 (CAVS),http://yanshifen.top:8889/rtp/239.77.1.168:5146
CCTV-9高清测试,http://yanshifen.top:8889/rtp/239.77.0.135:5146
CCTV-10科教,http://yanshifen.top:8889/rtp/239.77.0.39:5146
CCTV-10,http://yanshifen.top:8889/rtp/239.77.1.25:5146
CCTV-10高清,http://yanshifen.top:8889/rtp/239.77.1.113:5146
CCTV-10高清 (CAVS),http://yanshifen.top:8889/rtp/239.77.1.169:5146
CCTV-10高清测试(CCTV-10科教高清),http://yanshifen.top:8889/rtp/239.77.0.134:5146
CCTV-11戏曲,http://yanshifen.top:8889/rtp/239.77.0.40:5146
CCTV-11,http://yanshifen.top:8889/rtp/239.77.1.42:5146
CCTV-11高清,http://yanshifen.top:8889/rtp/239.77.1.238:5146
CCTV-12社会与法,http://yanshifen.top:8889/rtp/239.77.0.41:5146
CCTV-12,http://yanshifen.top:8889/rtp/239.77.1.10:5146
CCTV-12高清,http://yanshifen.top:8889/rtp/239.77.1.109:5146
CCTV-12高清 (CAVS),http://yanshifen.top:8889/rtp/239.77.1.170:5146
CCTV-12高清测试,http://yanshifen.top:8889/rtp/239.77.0.136:5146
CCTV-13新闻,http://yanshifen.top:8889/rtp/239.77.0.42:5146
CCTV-13,http://yanshifen.top:8889/rtp/239.77.1.26:5146
CCTV-13高清,http://yanshifen.top:8889/rtp/239.77.0.188:5146
CCTV-13高清,http://yanshifen.top:8889/rtp/239.253.43.196:5146
CCTV-14少儿,http://yanshifen.top:8889/rtp/239.77.0.43:5146
CCTV-14,http://yanshifen.top:8889/rtp/239.77.1.43:5146
CCTV-14高清,http://yanshifen.top:8889/rtp/239.77.1.161:5146
CCTV-14高清 (CAVS),http://yanshifen.top:8889/rtp/239.77.1.171:5146
CCTV-14高清测试,http://yanshifen.top:8889/rtp/239.77.0.133:5146
CCTV-15音乐,http://yanshifen.top:8889/rtp/239.77.0.44:5146
CCTV-15,http://yanshifen.top:8889/rtp/239.77.1.11:5146
CCTV-15高清,http://yanshifen.top:8889/rtp/239.77.1.239:5146
CCTV-16高清,http://yanshifen.top:8889/rtp/239.77.0.165:5146
CCTV-16高清,http://yanshifen.top:8889/rtp/239.77.1.76:5146
CCTV-16 4K,http://yanshifen.top:8889/rtp/239.77.1.98:5146
CCTV-17农业,http://yanshifen.top:8889/rtp/239.77.0.115:5146
CCTV-17,http://yanshifen.top:8889/rtp/239.77.1.123:5146
CCTV-17高清,http://yanshifen.top:8889/rtp/239.77.1.121:5146
CCTV-17农业高清,http://yanshifen.top:8889/rtp/239.77.0.198:5146
CCTV-4K 4K,http://yanshifen.top:8889/rtp/239.77.0.194:5146
CCTV-4K 4K50p,http://yanshifen.top:8889/rtp/239.77.0.174:5146
CGTN,http://yanshifen.top:8889/rtp/239.77.0.45:5146
CGTN,http://yanshifen.top:8889/rtp/239.77.1.27:5146
CGTN英语高清,http://yanshifen.top:8889/rtp/239.77.0.199:5146
CGTN西班牙语高清,http://yanshifen.top:8889/rtp/239.77.0.221:5146
CGTN法语高清,http://yanshifen.top:8889/rtp/239.77.0.228:5146
CGTN阿拉伯语高清,http://yanshifen.top:8889/rtp/239.253.43.200:5146
CGTN俄语高清,http://yanshifen.top:8889/rtp/239.253.43.201:5146
卫视电信,#genre#
湖南卫视,http://www.kem.ink:8188/rtp/239.77.0.46:5146
湖南卫视,http://www.kem.ink:8188/rtp/239.77.1.29:5146
湖南卫视高清,http://www.kem.ink:8188/rtp/239.77.1.5:5146
湖南卫视高清 (CAVS),http://www.kem.ink:8188/rtp/239.77.1.129:5146
湖南卫视高清,http://www.kem.ink:8188/rtp/239.77.0.88:5146
湖南卫视超清,http://www.kem.ink:8188/rtp/239.77.0.127:5146
浙江卫视,http://www.kem.ink:8188/rtp/239.77.0.47:5146
浙江卫视,http://www.kem.ink:8188/rtp/239.77.1.32:5146
浙江卫视高清,http://www.kem.ink:8188/rtp/239.77.1.33:5146
浙江卫视高清 (CAVS),http://www.kem.ink:8188/rtp/239.77.1.150:5146
浙江卫视高清,http://www.kem.ink:8188/rtp/239.77.0.89:5146
浙江卫视超清 (CAVS),http://www.kem.ink:8188/rtp/239.77.0.125:5146
江苏卫视,http://www.kem.ink:8188/rtp/239.77.0.48:5146
江苏卫视,http://www.kem.ink:8188/rtp/239.77.1.40:5146
江苏卫视高清,http://www.kem.ink:8188/rtp/239.77.1.18:5146
江苏卫视高清 (CAVS),http://www.kem.ink:8188/rtp/239.77.1.149:5146
江苏卫视高清,http://www.kem.ink:8188/rtp/239.77.0.90:5146
江苏卫视超清 (CAVS),http://www.kem.ink:8188/rtp/239.77.0.126:5146
东方卫视,http://www.kem.ink:8188/rtp/239.77.0.49:5146
东方卫视,http://www.kem.ink:8188/rtp/239.77.1.48:5146
东方卫视高清,http://www.kem.ink:8188/rtp/239.77.1.218:5146
东方卫视高清 (CAVS),http://www.kem.ink:8188/rtp/239.77.1.156:5146
东方卫视高清,http://www.kem.ink:8188/rtp/239.77.0.98:5146
安徽卫视,http://www.kem.ink:8188/rtp/239.77.0.50:5146
安徽卫视,http://www.kem.ink:8188/rtp/239.77.1.13:5146
安徽卫视高清,http://www.kem.ink:8188/rtp/239.77.1.92:5146
安徽卫视高清 (CAVS),http://www.kem.ink:8188/rtp/239.77.1.157:5146
安徽卫视高清,http://www.kem.ink:8188/rtp/239.77.0.183:5146
北京卫视,http://www.kem.ink:8188/rtp/239.77.0.51:5146
北京卫视,http://www.kem.ink:8188/rtp/239.77.1.14:5146
北京卫视高清,http://www.kem.ink:8188/rtp/239.77.1.4:5146
北京卫视高清,http://www.kem.ink:8188/rtp/239.77.1.151:5146
北京卫视高清,http://www.kem.ink:8188/rtp/239.77.0.91:5146
天津卫视,http://www.kem.ink:8188/rtp/239.77.0.52:5146
天津卫视,http://www.kem.ink:8188/rtp/239.77.1.37:5146
天津卫视高清,http://www.kem.ink:8188/rtp/239.77.1.141:5146
天津卫视高清,http://www.kem.ink:8188/rtp/239.77.1.182:5146
天津卫视高清,http://www.kem.ink:8188/rtp/239.77.0.97:5146
天津卫视超清,http://www.kem.ink:8188/rtp/239.77.0.131:5146
山东卫视,http://www.kem.ink:8188/rtp/239.77.0.53:5146
山东卫视,http://www.kem.ink:8188/rtp/239.77.1.66:5146
山东卫视高清,http://www.kem.ink:8188/rtp/239.77.1.142:5146
山东卫视高清 (CAVS),http://www.kem.ink:8188/rtp/239.77.1.153:5146
山东卫视高清,http://www.kem.ink:8188/rtp/239.77.0.94:5146
山东卫视超清 (CAVS),http://www.kem.ink:8188/rtp/239.77.0.132:5146
江西卫视,http://www.kem.ink:8188/rtp/239.77.0.54:5146
江西卫视,http://www.kem.ink:8188/rtp/239.77.1.73:5146
江西卫视高清,http://www.kem.ink:8188/rtp/239.77.1.219:5146
江西卫视高清,http://www.kem.ink:8188/rtp/239.77.0.149:5146
湖北卫视,http://www.kem.ink:8188/rtp/239.77.0.56:5146
湖北卫视,http://www.kem.ink:8188/rtp/239.77.1.44:5146
湖北卫视高清,http://www.kem.ink:8188/rtp/239.77.1.93:5146
湖北卫视高清,http://www.kem.ink:8188/rtp/239.77.1.174:5146
湖北卫视高清,http://www.kem.ink:8188/rtp/239.77.0.95:5146
湖北卫视超清,http://www.kem.ink:8188/rtp/239.77.0.128:5146
辽宁卫视,http://www.kem.ink:8188/rtp/239.77.0.57:5146
辽宁卫视,http://www.kem.ink:8188/rtp/239.77.1.62:5146
辽宁卫视高清,http://www.kem.ink:8188/rtp/239.77.1.103:5146
辽宁卫视 高清,http://www.kem.ink:8188/rtp/239.77.0.123:5146
辽宁卫视超清 (CAVS),http://www.kem.ink:8188/rtp/239.77.0.161:5146
黑龙江卫视,http://www.kem.ink:8188/rtp/239.77.0.58:5146
黑龙江卫视,http://www.kem.ink:8188/rtp/239.77.1.71:5146
黑龙江卫视高清,http://www.kem.ink:8188/rtp/239.77.1.6:5146
黑龙江卫视高清,http://www.kem.ink:8188/rtp/239.77.1.179:5146
黑龙江卫视高清,http://www.kem.ink:8188/rtp/239.77.0.93:5146
黑龙江卫视超清,http://www.kem.ink:8188/rtp/239.77.0.124:5146
贵州卫视,http://www.kem.ink:8188/rtp/239.77.0.59:5146
贵州卫视,http://www.kem.ink:8188/rtp/239.77.1.61:5146
贵州卫视高清,http://www.kem.ink:8188/rtp/239.77.1.221:5146
贵州卫视高清,http://www.kem.ink:8188/rtp/239.77.0.230:5146
四川卫视,http://www.kem.ink:8188/rtp/239.77.0.60:5146
四川卫视,http://www.kem.ink:8188/rtp/239.77.1.30:5146
四川卫视高清,http://www.kem.ink:8188/rtp/239.77.1.215:5146
四川卫视高清,http://www.kem.ink:8188/rtp/239.77.0.159:5146
四川卫视超清 (CAVS),http://www.kem.ink:8188/rtp/239.77.0.163:5146
河南卫视,http://www.kem.ink:8188/rtp/239.77.0.61:5146
河南卫视,http://www.kem.ink:8188/rtp/239.77.1.58:5146
河南卫视高清,http://www.kem.ink:8188/rtp/239.77.1.229:5146
河南卫视高清,http://www.kem.ink:8188/rtp/239.77.0.17:5146
云南卫视,http://www.kem.ink:8188/rtp/239.77.0.62:5146
云南卫视,http://www.kem.ink:8188/rtp/239.77.1.72:5146
云南卫视高清,http://www.kem.ink:8188/rtp/239.253.43.37:5146
云南卫视高清,http://www.kem.ink:8188/rtp/239.253.43.100:5146
重庆卫视,http://www.kem.ink:8188/rtp/239.77.0.63:5146
重庆卫视,http://www.kem.ink:8188/rtp/239.77.1.16:5146
重庆卫视高清,http://www.kem.ink:8188/rtp/239.77.1.162:5146
重庆卫视高清 (CAVS),http://www.kem.ink:8188/rtp/239.77.1.210:5146
重庆卫视高清,http://www.kem.ink:8188/rtp/239.77.0.182:5146
河北卫视,http://www.kem.ink:8188/rtp/239.77.0.64:5146
河北卫视,http://www.kem.ink:8188/rtp/239.77.1.60:5146
河北卫视高清,http://www.kem.ink:8188/rtp/239.77.1.214:5146
河北卫视高清,http://www.kem.ink:8188/rtp/239.77.0.148:5146
东南卫视,http://www.kem.ink:8188/rtp/239.77.0.65:5146
东南卫视,http://www.kem.ink:8188/rtp/239.77.1.1:5146
东南卫视,http://www.kem.ink:8188/rtp/239.77.1.213:5146
东南卫视高清,http://www.kem.ink:8188/rtp/239.77.1.104:5146
福建东南卫视高清,http://www.kem.ink:8188/rtp/239.77.0.146:5146
广西卫视,http://www.kem.ink:8188/rtp/239.77.0.66:5146
广西卫视,http://www.kem.ink:8188/rtp/239.77.1.59:5146
广西卫视高清,http://www.kem.ink:8188/rtp/239.253.43.36:5146
广西卫视高清,http://www.kem.ink:8188/rtp/239.77.0.139:5146
吉林卫视,http://www.kem.ink:8188/rtp/239.77.0.67:5146
吉林卫视,http://www.kem.ink:8188/rtp/239.77.1.45:5146
吉林卫视高清,http://www.kem.ink:8188/rtp/239.77.1.111:5146
吉林卫视高清,http://www.kem.ink:8188/rtp/239.77.0.150:5146
陕西卫视,http://www.kem.ink:8188/rtp/239.77.0.68:5146
陕西卫视,http://www.kem.ink:8188/rtp/239.77.1.54:5146
山西卫视,http://www.kem.ink:8188/rtp/239.77.0.69:5146
山西卫视,http://www.kem.ink:8188/rtp/239.77.1.74:5146
内蒙古卫视,http://www.kem.ink:8188/rtp/239.77.0.70:5146
内蒙古卫视,http://www.kem.ink:8188/rtp/239.77.1.55:5146
青海卫视,http://www.kem.ink:8188/rtp/239.77.0.71:5146
青海卫视,http://www.kem.ink:8188/rtp/239.77.1.70:5146
海南卫视,http://www.kem.ink:8188/rtp/239.77.0.72:5146
海南卫视,http://www.kem.ink:8188/rtp/239.77.1.51:5146
海南卫视高清,http://www.kem.ink:8188/rtp/239.253.43.35:5146
海南卫视高清,http://www.kem.ink:8188/rtp/239.253.43.101:5146
宁夏卫视,http://www.kem.ink:8188/rtp/239.77.0.73:5146
宁夏卫视,http://www.kem.ink:8188/rtp/239.77.1.47:5146
西藏卫视,http://www.kem.ink:8188/rtp/239.77.0.74:5146
西藏卫视,http://www.kem.ink:8188/rtp/239.77.1.49:5146
新疆卫视,http://www.kem.ink:8188/rtp/239.77.0.75:5146
新疆卫视,http://www.kem.ink:8188/rtp/239.77.1.53:5146
甘肃卫视,http://www.kem.ink:8188/rtp/239.77.0.76:5146
甘肃卫视,http://www.kem.ink:8188/rtp/239.77.1.57:5146
甘肃卫视高清,http://www.kem.ink:8188/rtp/239.77.0.189:5146
兵团卫视,http://www.kem.ink:8188/rtp/239.77.0.77:5146
